
---------- Begin Simulation Statistics ----------
simSeconds                                   0.000018                       # Number of seconds simulated (Second)
simTicks                                     17786500                       # Number of ticks simulated (Tick)
finalTick                                    17786500                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                      0.09                       # Real time elapsed on the host (Second)
hostTickRate                                206853441                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                     689856                       # Number of bytes of host memory used (Byte)
simInsts                                         5020                       # Number of instructions simulated (Count)
simOps                                           5825                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                    58277                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                      67615                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.cpu.numCycles                            35574                       # Number of cpu cycles simulated (Cycle)
system.cpu.cpi                               7.086454                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu.ipc                               0.141114                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                           11790                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                       47                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                           9320                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                     58                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined                 6011                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined             15622                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                  10                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples               14423                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               0.646190                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              1.411748                       # Number of insts issued each cycle (Count)
system.cpu.rename.undoneMaps                     7477                       # Number of HB maps that are undone due to squashing (Count)
system.cpu.rename.serializing                      42                       # count of serializing insts renamed (Count)
system.cpu.rename.tempSerializing                  36                       # count of temporary serializing insts renamed (Count)
system.cpu.rename.skidInsts                       423                       # count of insts added to the skid buffer (Count)
system.cpu.rename.intReturned                    3296                       # count of registers freed and written back to integer free list (Count)
system.cpu.rob.reads                            24840                       # The number of ROB reads (Count)
system.cpu.rob.writes                           24511                       # The number of ROB writes (Count)
system.cpu.thread_0.numInsts                     5020                       # Number of Instructions committed (Count)
system.cpu.thread_0.numOps                       5825                       # Number of Ops committed (Count)
system.cpu.thread_0.numMemRefs                      0                       # Number of Memory References (Count)
system.cpu.workload.numSyscalls                    13                       # Number of system calls (Count)
system.cpu_clk_domain.clock                       500                       # Clock period in ticks (Tick)
system.cpu_voltage_domain.voltage                   1                       # Voltage in Volts (Volt)
system.l2.demandHits::cpu.inst                     25                       # number of demand (read+write) hits (Count)
system.l2.demandHits::cpu.data                     20                       # number of demand (read+write) hits (Count)
system.l2.demandHits::total                        45                       # number of demand (read+write) hits (Count)
system.l2.overallHits::cpu.inst                    25                       # number of overall hits (Count)
system.l2.overallHits::cpu.data                    20                       # number of overall hits (Count)
system.l2.overallHits::total                       45                       # number of overall hits (Count)
system.l2.demandMisses::cpu.inst                  278                       # number of demand (read+write) misses (Count)
system.l2.demandMisses::cpu.data                  130                       # number of demand (read+write) misses (Count)
system.l2.demandMisses::total                     408                       # number of demand (read+write) misses (Count)
system.l2.overallMisses::cpu.inst                 278                       # number of overall misses (Count)
system.l2.overallMisses::cpu.data                 130                       # number of overall misses (Count)
system.l2.overallMisses::total                    408                       # number of overall misses (Count)
system.l2.demandMissLatency::cpu.inst        21850000                       # number of demand (read+write) miss ticks (Tick)
system.l2.demandMissLatency::cpu.data        10399500                       # number of demand (read+write) miss ticks (Tick)
system.l2.demandMissLatency::total           32249500                       # number of demand (read+write) miss ticks (Tick)
system.l2.overallMissLatency::cpu.inst       21850000                       # number of overall miss ticks (Tick)
system.l2.overallMissLatency::cpu.data       10399500                       # number of overall miss ticks (Tick)
system.l2.overallMissLatency::total          32249500                       # number of overall miss ticks (Tick)
system.l2.demandAccesses::cpu.inst                303                       # number of demand (read+write) accesses (Count)
system.l2.demandAccesses::cpu.data                150                       # number of demand (read+write) accesses (Count)
system.l2.demandAccesses::total                   453                       # number of demand (read+write) accesses (Count)
system.l2.overallAccesses::cpu.inst               303                       # number of overall (read+write) accesses (Count)
system.l2.overallAccesses::cpu.data               150                       # number of overall (read+write) accesses (Count)
system.l2.overallAccesses::total                  453                       # number of overall (read+write) accesses (Count)
system.l2.demandMissRate::cpu.inst           0.917492                       # miss rate for demand accesses (Ratio)
system.l2.demandMissRate::cpu.data           0.866667                       # miss rate for demand accesses (Ratio)
system.l2.demandMissRate::total              0.900662                       # miss rate for demand accesses (Ratio)
system.l2.overallMissRate::cpu.inst          0.917492                       # miss rate for overall accesses (Ratio)
system.l2.overallMissRate::cpu.data          0.866667                       # miss rate for overall accesses (Ratio)
system.l2.overallMissRate::total             0.900662                       # miss rate for overall accesses (Ratio)
system.l2.demandAvgMissLatency::cpu.inst 78597.122302                       # average overall miss latency in ticks ((Tick/Count))
system.l2.demandAvgMissLatency::cpu.data 79996.153846                       # average overall miss latency in ticks ((Tick/Count))
system.l2.demandAvgMissLatency::total    79042.892157                       # average overall miss latency in ticks ((Tick/Count))
system.l2.overallAvgMissLatency::cpu.inst 78597.122302                       # average overall miss latency ((Tick/Count))
system.l2.overallAvgMissLatency::cpu.data 79996.153846                       # average overall miss latency ((Tick/Count))
system.l2.overallAvgMissLatency::total   79042.892157                       # average overall miss latency ((Tick/Count))
system.l2.blockedCycles::no_mshrs                   0                       # number of cycles access was blocked (Cycle)
system.l2.blockedCycles::no_targets                 0                       # number of cycles access was blocked (Cycle)
system.l2.blockedCauses::no_mshrs                   0                       # number of times access was blocked (Count)
system.l2.blockedCauses::no_targets                 0                       # number of times access was blocked (Count)
system.l2.avgBlocked::no_mshrs                    nan                       # average number of cycles each access was blocked ((Cycle/Count))
system.l2.avgBlocked::no_targets                  nan                       # average number of cycles each access was blocked ((Cycle/Count))
system.l2.demandMshrHits::cpu.data                  6                       # number of demand (read+write) MSHR hits (Count)
system.l2.demandMshrHits::total                     6                       # number of demand (read+write) MSHR hits (Count)
system.l2.overallMshrHits::cpu.data                 6                       # number of overall MSHR hits (Count)
system.l2.overallMshrHits::total                    6                       # number of overall MSHR hits (Count)
system.l2.demandMshrMisses::cpu.inst              278                       # number of demand (read+write) MSHR misses (Count)
system.l2.demandMshrMisses::cpu.data              124                       # number of demand (read+write) MSHR misses (Count)
system.l2.demandMshrMisses::total                 402                       # number of demand (read+write) MSHR misses (Count)
system.l2.overallMshrMisses::cpu.inst             278                       # number of overall MSHR misses (Count)
system.l2.overallMshrMisses::cpu.data             124                       # number of overall MSHR misses (Count)
system.l2.overallMshrMisses::total                402                       # number of overall MSHR misses (Count)
system.l2.demandMshrMissLatency::cpu.inst     19070000                       # number of demand (read+write) MSHR miss ticks (Tick)
system.l2.demandMshrMissLatency::cpu.data      8754000                       # number of demand (read+write) MSHR miss ticks (Tick)
system.l2.demandMshrMissLatency::total       27824000                       # number of demand (read+write) MSHR miss ticks (Tick)
system.l2.overallMshrMissLatency::cpu.inst     19070000                       # number of overall MSHR miss ticks (Tick)
system.l2.overallMshrMissLatency::cpu.data      8754000                       # number of overall MSHR miss ticks (Tick)
system.l2.overallMshrMissLatency::total      27824000                       # number of overall MSHR miss ticks (Tick)
